"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 05 23:46:32 BDT 2024","Wed Jun 05 23:46:41 BDT 2024","9424","testcases","test_search","","","","test_add_items_to_basket",""
"passed","Wed Jun 05 23:46:06 BDT 2024","Wed Jun 05 23:46:25 BDT 2024","19908","testcases","test_add_address_","","","","test_add_items_to_basket",""
